task_id,epoch,evaluation_exact_match_mean,evaluation_exact_match_std,train_loss_mean,validation_loss_mean,learning_rate_mean,checkpoint_epoch_mean,best_evaluation_epoch_mean,reported_iid_accuracy_mean
S1.2_sort,177,0.397333,0.023419,0.001296,0.738017,3.906e-05,15.6,30.4,0.312
S1.2_sort,178,0.397333,0.023419,0.001296,0.738077,3.515e-05,15.6,30.4,0.312
S1.2_sort,179,0.397333,0.023419,0.001294,0.738115,3.515e-05,15.6,30.4,0.312
S1.2_sort,180,0.397333,0.023419,0.001293,0.738159,3.125e-05,15.6,30.4,0.312
S1.2_sort,181,0.397333,0.023419,0.001294,0.738235,3.125e-05,15.6,30.4,0.312
S1.2_sort,182,0.397333,0.023419,0.001293,0.738282,2.734e-05,15.6,30.4,0.312
S1.2_sort,183,0.398,0.02247,0.001293,0.738306,2.734e-05,15.6,30.4,0.312
S1.2_sort,184,0.397333,0.023419,0.001292,0.738322,2.734e-05,15.6,30.4,0.312
S1.2_sort,185,0.397333,0.023419,0.00129,0.738367,2.734e-05,15.6,30.4,0.312
S1.2_sort,186,0.397333,0.023419,0.00129,0.738411,2.734e-05,15.6,30.4,0.312
S1.2_sort,187,0.397333,0.023419,0.001289,0.738457,2.344e-05,15.6,30.4,0.312
S1.2_sort,188,0.397333,0.023419,0.00129,0.738487,2.344e-05,15.6,30.4,0.312
S1.2_sort,189,0.397333,0.023419,0.00129,0.738511,2.344e-05,15.6,30.4,0.312
S1.2_sort,190,0.397333,0.023419,0.001288,0.738562,2.344e-05,15.6,30.4,0.312
S1.2_sort,191,0.397333,0.023419,0.001289,0.738575,1.953e-05,15.6,30.4,0.312
S1.2_sort,192,0.397333,0.023419,0.001288,0.738606,1.953e-05,15.6,30.4,0.312
S1.2_sort,193,0.397333,0.023419,0.001286,0.738648,1.953e-05,15.6,30.4,0.312
S1.2_sort,194,0.397333,0.023419,0.001286,0.738676,1.953e-05,15.6,30.4,0.312
S1.2_sort,195,0.397333,0.023419,0.001285,0.738701,1.953e-05,15.6,30.4,0.312
S1.2_sort,196,0.397333,0.023419,0.001286,0.738748,1.953e-05,15.6,30.4,0.312
S1.2_sort,197,0.397333,0.023419,0.001286,0.738777,1.953e-05,15.6,30.4,0.312
S1.2_sort,198,0.397333,0.023419,0.001285,0.738797,1.953e-05,15.6,30.4,0.312
S1.2_sort,199,0.397333,0.023419,0.001284,0.738828,1.758e-05,15.6,30.4,0.312
S1.2_sort,200,0.397333,0.023419,0.001284,0.73887,1.758e-05,15.6,30.4,0.312
S1.4_count_symbol,1,0.624666,0.105927,1.48601,0.940575,0.005,161.2,14.0,0.991333
S1.4_count_symbol,2,0.840667,0.018062,0.638815,0.417826,0.005,161.2,14.0,0.991333
S1.4_count_symbol,3,0.916,0.028394,0.321718,0.224623,0.005,161.2,14.0,0.991333
S1.4_count_symbol,4,0.96,0.012472,0.171873,0.125923,0.005,161.2,14.0,0.991333
S1.4_count_symbol,5,0.964,0.03428,0.117414,0.11872,0.005,161.2,14.0,0.991333
S1.4_count_symbol,6,0.940667,0.045334,0.097379,0.192715,0.005,161.2,14.0,0.991333
S1.4_count_symbol,7,0.966666,0.016465,0.098285,0.118737,0.005,161.2,14.0,0.991333
S1.4_count_symbol,8,0.972667,0.015692,0.07401,0.074751,0.005,161.2,14.0,0.991333
S1.4_count_symbol,9,0.982,0.014236,0.064725,0.060722,0.005,161.2,14.0,0.991333
S1.4_count_symbol,10,0.980667,0.020591,0.041021,0.044493,0.005,161.2,14.0,0.991333
S1.4_count_symbol,11,0.991333,0.009798,0.030809,0.034115,0.005,161.2,14.0,0.991333
S1.4_count_symbol,12,0.988667,0.008844,0.024086,0.019559,0.005,161.2,14.0,0.991333
S1.4_count_symbol,13,0.99,0.007303,0.017724,0.023148,0.005,161.2,14.0,0.991333
S1.4_count_symbol,14,0.990667,0.009286,0.01269,0.015891,0.005,161.2,14.0,0.991333
S1.4_count_symbol,15,0.99,0.008433,0.011493,0.035713,0.005,161.2,14.0,0.991333
S1.4_count_symbol,16,0.993333,0.006992,0.009563,0.018477,0.005,161.2,14.0,0.991333
S1.4_count_symbol,17,0.992667,0.009753,0.009833,0.022267,0.005,161.2,14.0,0.991333
S1.4_count_symbol,18,0.992667,0.005735,0.007095,0.049943,0.005,161.2,14.0,0.991333
S1.4_count_symbol,19,0.995333,0.003399,0.00791,0.029084,0.005,161.2,14.0,0.991333
S1.4_count_symbol,20,0.991333,0.009333,0.003547,0.01425,0.005,161.2,14.0,0.991333
S1.4_count_symbol,21,0.992,0.009569,0.00433,0.01641,0.005,161.2,14.0,0.991333
S1.4_count_symbol,22,0.995333,0.004989,0.003272,0.017772,0.005,161.2,14.0,0.991333
S1.4_count_symbol,23,0.994,0.004422,0.002121,0.018475,0.005,161.2,14.0,0.991333
S1.4_count_symbol,24,0.992,0.008055,0.001696,0.020039,0.005,161.2,14.0,0.991333
S1.4_count_symbol,25,0.992,0.008055,0.001161,0.020834,0.005,161.2,14.0,0.991333
S1.4_count_symbol,26,0.992667,0.006799,0.000897,0.022336,0.005,161.2,14.0,0.991333
S1.4_count_symbol,27,0.992667,0.006799,0.000769,0.023077,0.005,161.2,14.0,0.991333
S1.4_count_symbol,28,0.993333,0.005578,0.00068,0.024034,0.005,161.2,14.0,0.991333
S1.4_count_symbol,29,0.992667,0.006799,0.000522,0.024656,0.005,161.2,14.0,0.991333
S1.4_count_symbol,30,0.992667,0.006799,0.000467,0.024391,0.005,161.2,14.0,0.991333
S1.4_count_symbol,31,0.992667,0.006799,0.000416,0.02592,0.005,161.2,14.0,0.991333
S1.4_count_symbol,32,0.992667,0.006799,0.00037,0.025833,0.005,161.2,14.0,0.991333
S1.4_count_symbol,33,0.992667,0.006799,0.00033,0.026304,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,34,0.992667,0.006799,0.000303,0.026266,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,35,0.992667,0.006799,0.000283,0.02644,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,36,0.992667,0.006799,0.000263,0.02676,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,37,0.992667,0.006799,0.000247,0.026678,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,38,0.992667,0.006799,0.000232,0.026975,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,39,0.992667,0.006799,0.000218,0.02733,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,40,0.992667,0.006799,0.000207,0.027215,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,41,0.992667,0.006799,0.000196,0.027424,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,42,0.992667,0.006799,0.000185,0.027714,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,43,0.992667,0.006799,0.000175,0.02774,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,44,0.992667,0.006799,0.000167,0.027953,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,45,0.992667,0.006799,0.000159,0.027994,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,46,0.992667,0.006799,0.000152,0.028203,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,47,0.992667,0.006799,0.000144,0.028221,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,48,0.992667,0.006799,0.000138,0.028265,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,49,0.992667,0.006799,0.000132,0.028552,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,50,0.992667,0.006799,0.000126,0.028458,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,51,0.992667,0.006799,0.000121,0.028639,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,52,0.992667,0.006799,0.000116,0.029008,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,53,0.992667,0.006799,0.000112,0.028772,0.0045,161.2,14.0,0.991333
S1.4_count_symbol,54,0.992667,0.006799,0.000107,0.028909,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,55,0.992667,0.006799,0.000104,0.029106,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,56,0.992667,0.006799,0.0001,0.029115,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,57,0.992667,0.006799,9.7e-05,0.029188,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,58,0.992667,0.006799,9.4e-05,0.02929,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,59,0.992667,0.006799,9.1e-05,0.029352,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,60,0.992667,0.006799,8.8e-05,0.029346,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,61,0.992,0.008055,8.5e-05,0.029312,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,62,0.992,0.008055,8.3e-05,0.029346,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,63,0.992,0.008055,8.1e-05,0.029447,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,64,0.992,0.008055,7.8e-05,0.029458,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,65,0.992,0.008055,7.6e-05,0.029571,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,66,0.992,0.008055,7.4e-05,0.029704,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,67,0.992,0.008055,7.2e-05,0.029666,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,68,0.992,0.008055,7e-05,0.02979,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,69,0.992,0.008055,6.8e-05,0.029777,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,70,0.992,0.008055,6.7e-05,0.02986,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,71,0.992,0.008055,6.5e-05,0.029867,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,72,0.992,0.008055,6.4e-05,0.029895,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,73,0.992,0.008055,6.2e-05,0.029978,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,74,0.992,0.008055,6e-05,0.030065,0.00425,161.2,14.0,0.991333
S1.4_count_symbol,75,0.992,0.008055,5.9e-05,0.030189,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,76,0.992,0.008055,5.8e-05,0.030194,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,77,0.992,0.008055,5.6e-05,0.030247,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,78,0.992,0.008055,5.5e-05,0.030253,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,79,0.992,0.008055,5.4e-05,0.030258,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,80,0.992,0.008055,5.3e-05,0.030289,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,81,0.992,0.008055,5.2e-05,0.030334,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,82,0.992,0.008055,5.1e-05,0.030407,0.004125,161.2,14.0,0.991333
S1.4_count_symbol,83,0.992,0.008055,5e-05,0.030382,0.004125,161.2,14.0,0.991333
